City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,pangody,65.85,74.4859,-3.14,98,100,10.33,RU,1704701650
292,barah,13.7,30.3667,78.76,23,4,13.73,SD,1704701652
293,chalons-en-champagne,48.9539,4.3672,31.23,69,100,13.31,FR,1704701588
294,haapsalu,58.9431,23.5414,31.01,87,100,10.33,EE,1704701653
295,akcaabat,41.0212,39.5715,71.47,24,75,12.66,TR,1704701653
296,al ghayzah,16.2079,52.176,76.66,26,97,3.85,YE,1704701654
297,harper,4.375,-7.7169,82.17,78,54,4.56,LR,1704701655
298,lorengau,-2.0226,147.2712,83.37,75,100,1.59,PG,1704701655
299,soe,-9.8607,124.284,76.68,79,100,5.03,ID,1704701656
300,marka,1.7159,44.7717,85.48,50,30,19.33,SO,1704701657
301,mananjary,-21.2167,48.3333,78.3,89,100,1.86,MG,1704701657
302,pudozh,61.8099,36.5345,13.95,94,100,11.99,RU,1704701658
303,narrabri,-30.3167,149.7833,72.21,91,97,10.96,AU,1704701659
304,mugia,43.1041,-9.2179,35.91,63,100,5.21,ES,1704701660
305,gaspe,48.8334,-64.4819,17.51,92,0,8.05,CA,1704701660
306,nova vicosa,-17.8919,-39.3719,76.33,90,86,1.54,BR,1704701661
307,loango,-4.6719,11.8312,80.26,83,20,4.61,CG,1704701662
308,manay,7.215,126.5397,79.59,87,93,7.72,PH,1704701664
309,tam ky,15.5667,108.4833,76.57,73,44,6.11,VN,1704701577
310,mocajuba,-2.5842,-49.5072,73.02,99,100,2.68,BR,1704701666
311,lazaro cardenas,17.9583,-102.2,73.4,81,58,4.68,MX,1704701483
312,lebu,-37.6167,-73.65,53.47,86,1,8.43,CL,1704701667
313,banda aceh,5.5577,95.3222,85.24,72,82,15.82,ID,1704701668
314,brewton,31.1052,-87.0722,45.01,87,100,5.59,US,1704701669
315,vadso,70.0744,29.7487,22.08,67,40,14.97,NO,1704701670
316,chizhou,30.6578,117.4831,45.54,62,83,2.59,CN,1704701670
317,purpe,64.4803,76.6897,-1.01,97,100,14.79,RU,1704701671
318,kenai,60.5544,-151.2583,30.15,98,100,3.44,US,1704701672
319,miryang,35.4933,128.7489,37.65,31,5,2.51,KR,1704701614
320,williston,48.147,-103.618,16.54,86,100,5.68,US,1704701673
321,shagonar,51.5333,92.8,3.13,91,90,1.9,RU,1704701674
322,dunedin,-45.8742,170.5036,54.81,91,98,4.0,NZ,1704701675
323,ola,59.5833,151.2833,-24.0,91,16,5.68,RU,1704701676
324,solleftea,63.1667,17.2667,32.43,81,57,8.88,SE,1704701677
325,thandla,23.0,74.5667,78.26,45,100,4.83,IN,1704701678
326,atafu village,-8.5421,-172.5159,84.02,73,100,6.64,TK,1704701678
327,bhimunipatnam,17.8833,83.4333,81.91,52,22,11.61,IN,1704701679
328,lib,8.3122,167.3766,81.05,71,97,21.39,MH,1704701680
329,crescent city,41.756,-124.2018,43.48,94,100,5.75,US,1704701680
330,vetovo,43.7,26.2667,32.32,74,100,14.99,BG,1704701682
331,bonthe,7.5264,-12.505,78.12,88,34,4.14,SL,1704701683
332,port alfred,-33.5906,26.891,66.18,98,100,4.0,ZA,1704701683
333,young,-32.6833,-57.6333,65.7,96,1,5.19,UY,1704701684
334,aydarken,39.9443,71.3429,35.6,75,96,1.9,KG,1704701685
335,obo,5.3998,26.4869,86.13,16,33,6.35,CF,1704701685
336,happy valley-goose bay,53.3168,-60.3315,10.71,67,100,9.22,CA,1704701686
337,palo santo,-25.5633,-59.3378,79.57,50,0,5.5,AR,1704701687
338,nizhnesortymskiy,62.4397,71.7603,1.54,97,100,8.1,RU,1704701687
339,winfield,37.2398,-96.9956,44.69,63,100,14.97,US,1704701688
340,kodinsk,58.6881,99.1844,-4.56,99,65,3.89,RU,1704701689
341,vernon,50.2581,-119.2691,29.01,68,92,1.14,CA,1704701690
342,bubaque,11.2833,-15.8333,78.71,47,9,16.13,GW,1704701691
343,veraval,20.9,70.3667,82.22,47,69,8.34,IN,1704701691
344,rosario del tala,-32.3029,-59.1455,66.67,94,2,6.04,AR,1704701693
345,cedeira,43.6797,-8.0209,38.37,73,100,14.18,ES,1704701693
346,inirida,3.8653,-67.9239,73.33,80,100,1.25,CO,1704701694
347,borogontsy,62.6683,131.1683,-48.37,99,78,4.05,RU,1704701695
348,mertola,37.6592,-7.6643,42.39,76,99,1.77,PT,1704701695
349,bamboo flat,11.7,92.7167,87.89,66,40,9.22,IN,1704701697
350,montecorvino rovella,40.6918,14.978,47.46,93,75,6.91,IT,1704701698
351,mejit,10.2753,170.8646,80.58,69,90,17.67,MH,1704701699
352,acarau,-2.8856,-40.12,79.18,79,100,10.31,BR,1704701700
353,holualoa,19.6228,-155.9522,71.44,81,0,6.91,US,1704701700
354,porto velho,-8.7619,-63.9039,75.25,94,0,0.0,BR,1704701701
355,gabes,33.8815,10.0982,44.56,53,0,13.8,TN,1704701703
356,cassilandia,-19.1133,-51.7342,72.0,79,0,4.79,BR,1704701704
357,nikolayevsk-on-amure,53.1406,140.73,-6.47,99,100,3.49,RU,1704701705
358,puerto armuelles,8.2833,-82.8667,73.09,84,98,3.0,PA,1704701706
359,kongoussi,13.3258,-1.5347,75.25,14,4,8.43,BF,1704701706
360,port nelson,23.6333,-74.8333,77.07,80,52,9.78,BS,1704701707
361,templeton,35.5497,-120.706,46.09,80,0,5.75,US,1704701708
362,port blair,11.6667,92.75,87.84,66,40,9.22,IN,1704701709
363,oranjemund,-28.55,16.4333,67.01,68,99,22.12,NA,1704701710
364,luwuk,-0.9516,122.7875,84.4,80,73,1.99,ID,1704701710
365,east ballina,-28.8667,153.5833,76.8,82,100,14.67,AU,1704701711
366,constitucion,-35.3333,-72.4167,54.91,72,0,7.31,CL,1704701712
367,lincheng,19.9078,109.6858,73.96,74,45,14.88,CN,1704701712
368,konosha,60.9736,40.257,9.54,92,100,10.71,RU,1704701713
369,la ronge,55.1001,-105.2842,-25.35,68,0,2.3,CA,1704701714
370,pemba,-12.974,40.5178,83.86,69,65,4.07,MZ,1704701697
371,rabo de peixe,37.8,-25.5833,58.51,82,20,4.61,PT,1704701716
372,lae,-6.7221,146.9847,88.47,80,100,4.61,PG,1704701717
373,calvi,42.5,8.8333,43.43,93,75,5.75,FR,1704701718
374,paramagudi,9.55,78.6,86.43,61,96,12.39,IN,1704701719
375,manokwari,-0.8667,134.0833,82.09,77,58,5.26,ID,1704701720
376,rio grande,-32.035,-52.0986,71.94,93,59,5.88,BR,1704701721
377,jijiga,9.35,42.8,71.4,32,49,13.24,ET,1704701722
378,pak kret,13.913,100.4988,95.99,47,20,6.91,TH,1704701605
379,hargeysa,9.56,44.065,68.79,45,10,18.57,SO,1704701723
380,bushehr,28.9684,50.8385,64.49,48,0,6.91,IR,1704701724
381,san bernardo del viento,9.3533,-75.9524,79.63,85,84,3.47,CO,1704701725
382,el hamma,33.8915,9.7963,43.92,59,0,14.85,TN,1704701727
383,rampur,28.8167,79.0333,54.1,32,0,4.09,IN,1704701728
384,mao,39.8885,4.2658,48.76,61,20,13.8,ES,1704701729
385,lethbridge,49.7,-112.8186,-5.69,77,100,0.0,CA,1704701729
386,borazjan,29.2666,51.2159,69.19,27,0,2.71,IR,1704701730
387,pont rouge,48.8833,-72.0825,12.49,96,100,0.89,CA,1704701731
388,ain sukhna,29.6002,32.3167,69.94,30,80,2.57,EG,1704701732
389,uturoa,-16.7333,-151.4333,80.53,78,11,9.33,PF,1704701733
390,maintirano,-18.0667,44.0167,87.66,61,100,5.3,MG,1704701733
391,newtown trim,53.5561,-6.77,40.86,85,63,8.23,IE,1704701735
392,chifeng,42.2683,118.9636,20.61,76,100,3.38,CN,1704701735
393,pechora,65.1472,57.2244,-15.14,100,100,1.01,RU,1704701736
394,olyokminsk,60.3736,120.4264,-8.01,88,100,9.33,RU,1704701737
395,taulaga,-11.0553,-171.0883,84.27,69,100,4.32,AS,1704701738
396,pasni,25.2631,63.471,76.21,33,0,16.44,PK,1704701739
397,brisas de zicatela,15.8369,-97.0419,75.81,76,0,3.58,MX,1704701739
398,as samawah,31.332,45.2944,61.18,25,100,3.04,IQ,1704701740
399,klaksvik,62.2266,-6.589,41.92,79,83,12.75,FO,1704701741
400,el haouaria,37.05,11.0144,48.22,70,78,26.91,TN,1704701742
401,bargaal,11.2864,51.0773,80.4,42,11,20.51,SO,1704701743
402,petrovsk,52.3064,45.3917,-1.46,94,41,5.19,RU,1704701744
403,matoury,4.8483,-52.3317,76.96,94,75,0.0,GF,1704701745
404,darwin,-12.4611,130.8418,87.78,77,75,12.66,AU,1704701712
405,dickinson,29.4608,-95.0513,61.05,82,100,16.11,US,1704701587
406,susanville,40.4163,-120.653,19.24,86,0,4.61,US,1704701746
407,tsiombe,-25.3,45.4833,89.8,55,17,10.38,MG,1704701747
408,arar,30.9753,41.0381,57.22,54,0,6.91,SA,1704701749
409,carnarvon,-24.8667,113.6333,78.69,69,1,17.0,AU,1704701749
410,yulinshi,38.2906,109.7494,31.77,41,100,2.37,CN,1704701750
411,smara,26.7384,-11.6719,53.55,86,0,4.18,EH,1704701751
412,port macquarie,-31.4333,152.9167,76.89,83,100,11.88,AU,1704701748
413,am timan,11.0297,20.2827,80.85,13,45,8.95,TD,1704701752
414,asau,46.4333,26.4,16.72,90,100,8.34,RO,1704701753
415,bardai,11.65,7.2333,69.26,14,70,13.73,NG,1704701754
416,kapuskasing,49.4169,-82.4331,-2.11,84,0,5.75,CA,1704701755
417,iskateley,67.6803,53.1512,9.18,97,100,2.55,RU,1704701756
418,shimoda,34.6667,138.95,45.68,50,6,4.41,JP,1704701757
419,valle de la pascua,9.2155,-66.0073,72.97,79,96,7.14,VE,1704701758
420,outjo,-20.1167,16.15,77.09,45,100,3.47,NA,1704701760
421,ma'rib,15.4591,45.3253,66.11,39,32,7.54,YE,1704701760
422,cockburn town,21.4612,-71.1419,78.13,72,100,15.23,TC,1704701761
423,hami,42.8,93.45,29.19,51,2,1.41,CN,1704701731
424,kakata,6.53,-10.3517,76.08,92,82,0.54,LR,1704701762
425,selfoss,63.9331,-20.9971,43.05,97,100,12.41,IS,1704701764
426,kavaratti,10.5669,72.642,82.38,75,71,7.34,IN,1704701764
427,metlili chaamba,32.2667,3.6333,40.14,65,0,3.44,DZ,1704701683
428,muhos,64.808,25.9931,13.78,97,99,2.64,FI,1704701766
429,sandnessjoen,66.0217,12.6316,37.51,87,75,9.22,NO,1704701768
430,polyarnyy,69.1989,33.4478,23.41,76,100,16.67,RU,1704701769
431,macusani,-14.0833,-70.4333,36.27,63,85,0.63,PE,1704701770
432,itoman,26.1247,127.6694,66.58,55,20,3.44,JP,1704701668
433,port moresby,-9.4431,147.1797,81.7,80,100,3.6,PG,1704701748
434,kangding,30.0513,101.9603,51.84,17,0,3.42,CN,1704701533
435,palikir - national government center,6.9248,158.1611,84.94,66,75,11.18,FM,1704701774
436,villa dolores,-31.9459,-65.1896,65.68,85,2,4.14,AR,1704701775
437,atlantis,-33.5667,18.4834,71.35,40,0,9.57,ZA,1704701776
438,shchigry,51.8755,36.9043,-7.78,91,100,10.6,RU,1704701777
439,carutapera,-1.195,-46.02,76.6,91,98,6.82,BR,1704701777
